265.10;0472;2016-06-02 14:28:45
265.02;0471;2016-06-02 14:28:47
265.98;0469;2016-06-02 14:28:48
266.34;0471;2016-06-02 14:28:49
265.45;0468;2016-06-02 14:28:50
265.50;0473;2016-06-02 14:28:51
264.59;0472;2016-06-02 14:28:52
265.50;0473;2016-06-02 14:28:53
265.07;0473;2016-06-02 14:28:54
265.43;0473;2016-06-02 14:28:55
265.46;0473;2016-06-02 14:28:56
265.43;0473;2016-06-02 14:28:57
265.88;0472;2016-06-02 14:28:58
265.50;0470;2016-06-02 14:28:59
265.46;0469;2016-06-02 14:29:00
265.53;0470;2016-06-02 14:29:02
265.88;0468;2016-06-02 14:29:03
265.02;0467;2016-06-02 14:29:04
265.91;0466;2016-06-02 14:29:05
265.43;0466;2016-06-02 14:29:06
265.05;0466;2016-06-02 14:29:07
265.04;0466;2016-06-02 14:29:08
265.43;0465;2016-06-02 14:29:09
265.89;0466;2016-06-02 14:29:10
265.53;0466;2016-06-02 14:29:11
265.43;0466;2016-06-02 14:29:12
265.45;0466;2016-06-02 14:29:13
265.05;0467;2016-06-02 14:29:14
265.00;0466;2016-06-02 14:29:15
265.91;0466;2016-06-02 14:29:16
265.07;0466;2016-06-02 14:29:18
265.45;0464;2016-06-02 14:29:19
265.48;0462;2016-06-02 14:29:20
265.09;0463;2016-06-02 14:29:21
265.07;0463;2016-06-02 14:29:22
265.91;0460;2016-06-02 14:29:23
265.43;0460;2016-06-02 14:29:24
265.07;0460;2016-06-02 14:29:25
265.52;0460;2016-06-02 14:29:26
265.45;0460;2016-06-02 14:29:27
265.91;0459;2016-06-02 14:29:28
265.46;0458;2016-06-02 14:29:29
265.10;0458;2016-06-02 14:29:30
265.09;0456;2016-06-02 14:29:31
265.88;0455;2016-06-02 14:29:32
265.89;0455;2016-06-02 14:29:34
265.45;0453;2016-06-02 14:29:35
265.95;0452;2016-06-02 14:29:36
265.43;0451;2016-06-02 14:29:37
265.41;0451;2016-06-02 14:29:38
265.41;0450;2016-06-02 14:29:39
265.05;0449;2016-06-02 14:29:40
265.95;0450;2016-06-02 14:29:41
265.46;0450;2016-06-02 14:29:42
265.45;0451;2016-06-02 14:29:43
265.48;0451;2016-06-02 14:29:44
265.89;0452;2016-06-02 14:29:45
265.41;0453;2016-06-02 14:29:46
265.43;0452;2016-06-02 14:29:47
265.45;0453;2016-06-02 14:29:49
265.00;0454;2016-06-02 14:29:50
265.41;0455;2016-06-02 14:29:51
265.91;0455;2016-06-02 14:29:52
265.02;0454;2016-06-02 14:29:53
265.41;0455;2016-06-02 14:29:54
265.43;0454;2016-06-02 14:29:55
265.45;0453;2016-06-02 14:29:56
265.43;0451;2016-06-02 14:29:57
265.50;0452;2016-06-02 14:29:58
265.45;0450;2016-06-02 14:29:59
265.45;0449;2016-06-02 14:30:00
265.05;0451;2016-06-02 14:30:01
265.50;0450;2016-06-02 14:30:02
265.46;0449;2016-06-02 14:30:03
265.45;0450;2016-06-02 14:30:05
264.97;0448;2016-06-02 14:30:06
265.45;0448;2016-06-02 14:30:07
265.52;0449;2016-06-02 14:30:08
265.05;0448;2016-06-02 14:30:09
265.05;0447;2016-06-02 14:30:10
265.89;0447;2016-06-02 14:30:11
265.00;0448;2016-06-02 14:30:12
265.53;0450;2016-06-02 14:30:13
265.50;0449;2016-06-02 14:30:14
265.53;0450;2016-06-02 14:30:15
265.00;0448;2016-06-02 14:30:16
265.34;0450;2016-06-02 14:30:17
265.43;0450;2016-06-02 14:30:18
265.04;0451;2016-06-02 14:30:19
265.43;0450;2016-06-02 14:30:21
265.41;0450;2016-06-02 14:30:22
265.43;0450;2016-06-02 14:30:23
265.48;0451;2016-06-02 14:30:24
265.07;0450;2016-06-02 14:30:25
265.10;0449;2016-06-02 14:30:26
265.09;0450;2016-06-02 14:30:27
265.45;0450;2016-06-02 14:30:28
265.43;0450;2016-06-02 14:30:29
265.45;0450;2016-06-02 14:30:30
265.48;0450;2016-06-02 14:30:31
264.35;0449;2016-06-02 14:30:32
265.05;0450;2016-06-02 14:30:33
265.57;0451;2016-06-02 14:30:34
265.05;0450;2016-06-02 14:30:35
265.46;0450;2016-06-02 14:30:37
265.45;0447;2016-06-02 14:30:38
265.50;0446;2016-06-02 14:30:39
265.43;0444;2016-06-02 14:30:40
265.43;0443;2016-06-02 14:30:41
265.50;0442;2016-06-02 14:30:42
265.45;0440;2016-06-02 14:30:43
265.04;0439;2016-06-02 14:30:44
266.00;0439;2016-06-02 14:30:45
265.46;0438;2016-06-02 14:30:46
265.45;0437;2016-06-02 14:30:47
265.95;0437;2016-06-02 14:30:48
265.09;0437;2016-06-02 14:30:49
265.05;0438;2016-06-02 14:30:50
265.05;0437;2016-06-02 14:30:52
265.05;0437;2016-06-02 14:30:53
265.46;0435;2016-06-02 14:30:54
265.05;0436;2016-06-02 14:30:55
265.45;0434;2016-06-02 14:30:56
265.02;0434;2016-06-02 14:30:57
265.52;0434;2016-06-02 14:30:58
265.43;0433;2016-06-02 14:30:59
265.53;0432;2016-06-02 14:31:00
265.09;0430;2016-06-02 14:31:01
265.09;0432;2016-06-02 14:31:02
265.45;0431;2016-06-02 14:31:03
265.93;0431;2016-06-02 14:31:04
265.45;0430;2016-06-02 14:31:05
265.43;0430;2016-06-02 14:31:06
265.48;0430;2016-06-02 14:31:08
265.43;0430;2016-06-02 14:31:09
265.43;0430;2016-06-02 14:31:10
268.02;0430;2016-06-02 14:31:11
265.10;0430;2016-06-02 14:31:12
265.88;0433;2016-06-02 14:31:13
265.98;0434;2016-06-02 14:31:14
265.07;0432;2016-06-02 14:31:15
265.46;0434;2016-06-02 14:31:16
281.77;0433;2016-06-02 14:31:17
418.96;0434;2016-06-02 14:31:18
316.49;0437;2016-06-02 14:31:19
265.46;0437;2016-06-02 14:31:20
265.53;0435;2016-06-02 14:31:21
265.67;0436;2016-06-02 14:31:22
265.45;0435;2016-06-02 14:31:24
265.09;0433;2016-06-02 14:31:25
266.00;0432;2016-06-02 14:31:26
265.46;0431;2016-06-02 14:31:27
265.91;0429;2016-06-02 14:31:28
264.98;0428;2016-06-02 14:31:29
265.43;0428;2016-06-02 14:31:30
265.46;0428;2016-06-02 14:31:31
265.41;0427;2016-06-02 14:31:32
265.46;0427;2016-06-02 14:31:33
265.05;0424;2016-06-02 14:31:34
265.45;0423;2016-06-02 14:31:35
265.89;0421;2016-06-02 14:31:36
265.45;0422;2016-06-02 14:31:37
265.04;0420;2016-06-02 14:31:38
265.89;0419;2016-06-02 14:31:40
265.46;0415;2016-06-02 14:31:41
265.46;0409;2016-06-02 14:31:42
265.46;0413;2016-06-02 14:31:43
265.46;0421;2016-06-02 14:31:44
265.53;0420;2016-06-02 14:31:45
265.45;0416;2016-06-02 14:31:46
265.55;0417;2016-06-02 14:31:47
265.48;0420;2016-06-02 14:31:48
265.07;0418;2016-06-02 14:31:49
265.88;0420;2016-06-02 14:31:50
